Value,Title,Location,Sector
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54305804,백엔드(python) 개발자 채용,서울 강남구,Python 백엔드/서버개발 웹개발 기술지원 유지보수
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53920991,Python 개발자 채용,서울 강남구,Python Java Linux 딥러닝 S/W
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54282488,Python 워크플로우 자동화 개발자,서울 강서구,Python RPA 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54271876,백엔드(python) 개발자 채용,서울 강남구,Python 백엔드/서버개발 웹개발 기술지원 유지보수
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54271775,"[미소정보기술 대전본부] JAVA, Python 및 AI 플랫폼 개발자",대전 유성구,유지보수 반응형웹 CSS Git HTML
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54308104,N은행 AI감사포털 신규 구축 Python 중급 개발자 채용(의왕),경기 의왕시,백엔드/서버개발 웹개발 유지보수 프론트엔드 SI·시스템통합
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54309171,"소프트웨어 개발자 (C, C++, Python 등)",대전 유성구,C++ S/W C언어 임베디드 펌웨어
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54060893,Backend (Python) 개발자,서울 강남구,Python 백엔드/서버개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54109376,AI Agent Engineer (Python),서울 영등포구,Python AI(인공지능) 백엔드/서버개발 머신러닝 AWS
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54228608,차량용 S/W Test 자동화 검증(Python),인천 서구,Python QA/테스터 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54200306,AI제품(Python) 개발 경력직 채용,서울 강서구,Python AI(인공지능) 백엔드/서버개발 Java 웹개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54107940,"AI 서비스 플랫폼 백엔드 개발자 모집(PYTHON, JAVA)",부산 연제구,Python AI(인공지능) 백엔드/서버개발 Java 머신러닝
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54073336,"C#, Python 개발자 채용",서울 강서구,Python C++ Linux 웹개발 앱개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53948095,[개발팀] 백엔드 개발자 (Python),서울 강남구,Python AWS Docker MySQL OpenCV
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53999668,"[서울 문정] [경력3년이상 4,300~8,500] C++, Python 백엔드개발",서울 송파구,Python C++ 백엔드/서버개발 C# Tensorflow
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54204377,백엔드 엔지니어(C# Python) 채용(일부재택/유연근무),서울 강남구,Python 백엔드/서버개발 Java C# 자산관리
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54293659,[대기업] 교육 플랫폼 운영 Python 풀스택 개발자 채용,서울 강서구,Python 백엔드/서버개발 웹개발 프론트엔드 SI개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53849084,프타 솔루션 JAVA / DBA / TA / AA / PYTHON Recruitment,서울 구로구,Python Java DBA SI개발 AWS
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54214213,로봇 소프트웨어 개발자(Python · ROS) 모집(신입/경력),부산 사상구,Python S/W 로봇엔지니어 PLC ROS
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54307262,Python 백엔드 개발자_9년이상,서울 마포구,Python 백엔드/서버개발 웹개발 프론트엔드 DBA
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54307186,Python 백엔드 개발자_6년~8년 채용,서울 마포구,Python 백엔드/서버개발 웹개발 프론트엔드 DBA
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54004173,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,서울 강남구,Python AI(인공지능) C++ 빅데이터 API
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54271901,[산업기능요원/보충역] 백엔드(python) 개발자 채용,서울 강남구,Python 백엔드/서버개발 웹개발 기술지원 유지보수
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54278764,"Java, PHP, Python, CMS 웹응용프로그램 개발자 모집",부산 부산진구,Python Java 웹개발 PHP 솔루션업체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54319959,[선릉/한국표준협회] AI 연구개발(Python·LLM·RAG) 개발 채용,서울 강남구,Python AI(인공지능) 백엔드/서버개발 Java 머신러닝
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54296545,프론트엔드 개발자 (React / Next.js / Python),서울 송파구,Python AI(인공지능) Java 프론트엔드 반응형웹
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54239527,"Flutter, PHP 또는 Python 2년 이상 실무 개발자",서울 성동구,웹개발 앱개발 반응형웹 웹표준·웹접근성 CSS
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54271148,마케팅 프로세스 자동화 개발자(Python) 인턴/신입 채용,서울 송파구,백엔드/서버개발 광고기획사 광고대행사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53831012,Python Backend 개발자 채용(대전 연구소),대전 중구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54149669,정규 Python/Data Engineer (신입/경력) 채용,경기 용인시 수지구,빅데이터 클라우드 SI·시스템통합 DW DBMS
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54121868,인디제이(inDJ AI) - AI/Python 개발자 채용,광주 북구,AI(인공지능) 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54312209,긴급) SK하이닉스 분당 AI 개발자 (Python / Lang Graph) 고급,경기 성남시 분당구,AI(인공지능) 웹개발 SI개발 IT컨설팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54218713,백엔드 엔지니어(C# Python) 채용(유연근무),서울 강남구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54290273,[경력]Python 기반 ETL & Data Solution Engineer(부산),부산 사하구,데이터엔지니어 SCM 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54307162,Python 백엔드 개발자 채용,서울 마포구,웹개발 프론트엔드 AWS 광고대행사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54255019,"Python , DJango/DJangoRestframework 기반 웹서비스 개발",서울 강서구,Java 웹개발 프론트엔드 SI개발 웹표준·웹접근성
